"Time","The Coca-Cola Company"
"2021-06-01",81
"2021-07-01",47
"2021-08-01",43
"2021-09-01",41
"2021-10-01",39
"2021-11-01",37
"2021-12-01",45
"2022-01-01",37
"2022-02-01",41
"2022-03-01",47
"2022-04-01",48
"2022-05-01",50
"2022-06-01",47
"2022-07-01",39
"2022-08-01",44
"2022-09-01",51
"2022-10-01",49
"2022-11-01",44
"2022-12-01",43
"2023-01-01",34
"2023-02-01",39
"2023-03-01",39
"2023-04-01",39
"2023-05-01",40
"2023-06-01",39
"2023-07-01",39
"2023-08-01",38
"2023-09-01",38
"2023-10-01",44
"2023-11-01",51
"2023-12-01",48
"2024-01-01",38
"2024-02-01",41
"2024-03-01",40
"2024-04-01",44
"2024-05-01",42
"2024-06-01",42
"2024-07-01",39
"2024-08-01",46
"2024-09-01",48
"2024-10-01",46
"2024-11-01",49
"2024-12-01",51
"2025-01-01",41
"2025-02-01",57
"2025-03-01",45
"2025-04-01",44
"2025-05-01",49
"2025-06-01",51
"2025-07-01",58
"2025-08-01",64
"2025-09-01",55
"2025-10-01",65
"2025-11-01",87
"2025-12-01",93
"2026-01-01",76
"2026-02-01",78
"2026-03-01",79
"2026-04-01",83
"2026-05-01",98
"2026-06-01",100
