"Time","Coca Cola FIFA World Cup 2026"
"2025-06-15",0
"2025-06-22",0
"2025-06-29",0
"2025-07-06",0
"2025-07-13",0
"2025-07-20",0
"2025-07-27",0
"2025-08-03",0
"2025-08-10",0
"2025-08-17",0
"2025-08-24",0
"2025-08-31",0
"2025-09-07",0
"2025-09-14",0
"2025-09-21",0
"2025-09-28",0
"2025-10-05",0
"2025-10-12",0
"2025-10-19",0
"2025-10-26",0
"2025-11-02",0
"2025-11-09",0
"2025-11-16",5
"2025-11-23",5
"2025-11-30",14
"2025-12-07",4
"2025-12-14",4
"2025-12-21",0
"2025-12-28",0
"2026-01-04",0
"2026-01-11",0
"2026-01-18",6
"2026-01-25",4
"2026-02-01",8
"2026-02-08",8
"2026-02-15",8
"2026-02-22",5
"2026-03-01",9
"2026-03-08",7
"2026-03-15",9
"2026-03-22",8
"2026-03-29",15
"2026-04-05",13
"2026-04-12",16
"2026-04-19",16
"2026-04-26",27
"2026-05-03",33
"2026-05-10",36
"2026-05-17",51
"2026-05-24",50
"2026-05-31",54
"2026-06-07",78
"2026-06-14",100
