"Time","Heinz"
"2021-06-01",83
"2021-07-01",74
"2021-08-01",57
"2021-09-01",68
"2021-10-01",50
"2021-11-01",49
"2021-12-01",44
"2022-01-01",48
"2022-02-01",50
"2022-03-01",49
"2022-04-01",58
"2022-05-01",50
"2022-06-01",52
"2022-07-01",63
"2022-08-01",56
"2022-09-01",60
"2022-10-01",55
"2022-11-01",56
"2022-12-01",46
"2023-01-01",52
"2023-02-01",51
"2023-03-01",48
"2023-04-01",37
"2023-05-01",41
"2023-06-01",36
"2023-07-01",43
"2023-08-01",40
"2023-09-01",45
"2023-10-01",49
"2023-11-01",59
"2023-12-01",58
"2024-01-01",60
"2024-02-01",62
"2024-03-01",62
"2024-04-01",70
"2024-05-01",60
"2024-06-01",53
"2024-07-01",58
"2024-08-01",57
"2024-09-01",62
"2024-10-01",68
"2024-11-01",59
"2024-12-01",50
"2025-01-01",76
"2025-02-01",86
"2025-03-01",75
"2025-04-01",67
"2025-05-01",68
"2025-06-01",70
"2025-07-01",77
"2025-08-01",91
"2025-09-01",100
"2025-10-01",84
"2025-11-01",68
"2025-12-01",57
"2026-01-01",69
"2026-02-01",87
"2026-03-01",88
"2026-04-01",90
"2026-05-01",85
"2026-06-01",62
