"Time","IKEA"
"2021-06-01",84
"2021-07-01",97
"2021-08-01",88
"2021-09-01",84
"2021-10-01",81
"2021-11-01",83
"2021-12-01",82
"2022-01-01",100
"2022-02-01",81
"2022-03-01",79
"2022-04-01",80
"2022-05-01",77
"2022-06-01",75
"2022-07-01",81
"2022-08-01",84
"2022-09-01",74
"2022-10-01",73
"2022-11-01",77
"2022-12-01",71
"2023-01-01",75
"2023-02-01",59
"2023-03-01",45
"2023-04-01",43
"2023-05-01",42
"2023-06-01",39
"2023-07-01",46
"2023-08-01",48
"2023-09-01",44
"2023-10-01",46
"2023-11-01",46
"2023-12-01",43
"2024-01-01",43
"2024-02-01",40
"2024-03-01",35
"2024-04-01",30
"2024-05-01",26
"2024-06-01",29
"2024-07-01",34
"2024-08-01",39
"2024-09-01",37
"2024-10-01",35
"2024-11-01",34
"2024-12-01",37
"2025-01-01",34
"2025-02-01",28
"2025-03-01",29
"2025-04-01",29
"2025-05-01",24
"2025-06-01",23
"2025-07-01",23
"2025-08-01",24
"2025-09-01",23
"2025-10-01",24
"2025-11-01",26
"2025-12-01",23
"2026-01-01",23
"2026-02-01",22
"2026-03-01",24
"2026-04-01",21
"2026-05-01",22
"2026-06-01",28
