"Time","IKEA PS 2026"
"2025-06-15",0
"2025-06-22",0
"2025-06-29",0
"2025-07-06",0
"2025-07-13",0
"2025-07-20",0
"2025-07-27",0
"2025-08-03",0
"2025-08-10",0
"2025-08-17",0
"2025-08-24",0
"2025-08-31",0
"2025-09-07",0
"2025-09-14",0
"2025-09-21",0
"2025-09-28",0
"2025-10-05",0
"2025-10-12",0
"2025-10-19",0
"2025-10-26",0
"2025-11-02",0
"2025-11-09",0
"2025-11-16",0
"2025-11-23",1
"2025-11-30",1
"2025-12-07",0
"2025-12-14",1
"2025-12-21",0
"2025-12-28",1
"2026-01-04",2
"2026-01-11",2
"2026-01-18",2
"2026-01-25",1
"2026-02-01",2
"2026-02-08",1
"2026-02-15",2
"2026-02-22",2
"2026-03-01",2
"2026-03-08",2
"2026-03-15",4
"2026-03-22",3
"2026-03-29",3
"2026-04-05",3
"2026-04-12",6
"2026-04-19",44
"2026-04-26",20
"2026-05-03",18
"2026-05-10",100
"2026-05-17",54
"2026-05-24",50
"2026-05-31",37
"2026-06-07",20
"2026-06-14",15
