"Time","LEGO"
"2021-06-01",31
"2021-07-01",32
"2021-08-01",36
"2021-09-01",34
"2021-10-01",43
"2021-11-01",56
"2021-12-01",62
"2022-01-01",48
"2022-02-01",38
"2022-03-01",37
"2022-04-01",42
"2022-05-01",41
"2022-06-01",39
"2022-07-01",42
"2022-08-01",41
"2022-09-01",36
"2022-10-01",42
"2022-11-01",53
"2022-12-01",67
"2023-01-01",50
"2023-02-01",41
"2023-03-01",36
"2023-04-01",35
"2023-05-01",37
"2023-06-01",35
"2023-07-01",39
"2023-08-01",41
"2023-09-01",38
"2023-10-01",46
"2023-11-01",63
"2023-12-01",100
"2024-01-01",59
"2024-02-01",53
"2024-03-01",47
"2024-04-01",41
"2024-05-01",46
"2024-06-01",45
"2024-07-01",43
"2024-08-01",48
"2024-09-01",43
"2024-10-01",48
"2024-11-01",72
"2024-12-01",94
"2025-01-01",59
"2025-02-01",50
"2025-03-01",48
"2025-04-01",42
"2025-05-01",47
"2025-06-01",46
"2025-07-01",48
"2025-08-01",53
"2025-09-01",52
"2025-10-01",56
"2025-11-01",79
"2025-12-01",98
"2026-01-01",73
"2026-02-01",59
"2026-03-01",57
"2026-04-01",58
"2026-05-01",64
"2026-06-01",59
