"Time","Patagonia"
"2021-06-01",61
"2021-07-01",62
"2021-08-01",74
"2021-09-01",76
"2021-10-01",77
"2021-11-01",98
"2021-12-01",95
"2022-01-01",75
"2022-02-01",67
"2022-03-01",56
"2022-04-01",59
"2022-05-01",49
"2022-06-01",50
"2022-07-01",55
"2022-08-01",57
"2022-09-01",100
"2022-10-01",63
"2022-11-01",65
"2022-12-01",63
"2023-01-01",50
"2023-02-01",41
"2023-03-01",16
"2023-04-01",11
"2023-05-01",12
"2023-06-01",9
"2023-07-01",9
"2023-08-01",10
"2023-09-01",9
"2023-10-01",12
"2023-11-01",13
"2023-12-01",14
"2024-01-01",15
"2024-02-01",11
"2024-03-01",10
"2024-04-01",12
"2024-05-01",11
"2024-06-01",9
"2024-07-01",9
"2024-08-01",10
"2024-09-01",10
"2024-10-01",12
"2024-11-01",17
"2024-12-01",19
"2025-01-01",15
"2025-02-01",12
"2025-03-01",12
"2025-04-01",10
"2025-05-01",10
"2025-06-01",6
"2025-07-01",10
"2025-08-01",13
"2025-09-01",13
"2025-10-01",14
"2025-11-01",20
"2025-12-01",19
"2026-01-01",27
"2026-02-01",57
"2026-03-01",44
"2026-04-01",39
"2026-05-01",44
"2026-06-01",36
