"Time","Saint Laurent"
"2021-06-01",0
"2021-07-01",0
"2021-08-01",0
"2021-09-01",0
"2021-10-01",0
"2021-11-01",0
"2021-12-01",0
"2022-01-01",0
"2022-02-01",0
"2022-03-01",0
"2022-04-01",0
"2022-05-01",0
"2022-06-01",0
"2022-07-01",0
"2022-08-01",0
"2022-09-01",0
"2022-10-01",32
"2022-11-01",43
"2022-12-01",53
"2023-01-01",40
"2023-02-01",38
"2023-03-01",37
"2023-04-01",44
"2023-05-01",45
"2023-06-01",44
"2023-07-01",43
"2023-08-01",48
"2023-09-01",48
"2023-10-01",54
"2023-11-01",71
"2023-12-01",84
"2024-01-01",64
"2024-02-01",58
"2024-03-01",55
"2024-04-01",57
"2024-05-01",62
"2024-06-01",63
"2024-07-01",62
"2024-08-01",60
"2024-09-01",64
"2024-10-01",66
"2024-11-01",80
"2024-12-01",100
"2025-01-01",71
"2025-02-01",64
"2025-03-01",63
"2025-04-01",61
"2025-05-01",63
"2025-06-01",61
"2025-07-01",67
"2025-08-01",69
"2025-09-01",64
"2025-10-01",68
"2025-11-01",86
"2025-12-01",98
"2026-01-01",73
"2026-02-01",72
"2026-03-01",76
"2026-04-01",68
"2026-05-01",79
"2026-06-01",63
