"Time","Libre Berry Crush YSL"
"2025-06-15",0
"2025-06-22",0
"2025-06-29",0
"2025-07-06",0
"2025-07-13",0
"2025-07-20",0
"2025-07-27",0
"2025-08-03",0
"2025-08-10",0
"2025-08-17",0
"2025-08-24",0
"2025-08-31",0
"2025-09-07",0
"2025-09-14",0
"2025-09-21",0
"2025-09-28",0
"2025-10-05",0
"2025-10-12",0
"2025-10-19",0
"2025-10-26",0
"2025-11-02",8
"2025-11-09",6
"2025-11-16",0
"2025-11-23",0
"2025-11-30",9
"2025-12-07",18
"2025-12-14",21
"2025-12-21",26
"2025-12-28",100
"2026-01-04",63
"2026-01-11",55
"2026-01-18",66
"2026-01-25",70
"2026-02-01",73
"2026-02-08",84
"2026-02-15",75
"2026-02-22",62
"2026-03-01",60
"2026-03-08",78
"2026-03-15",74
"2026-03-22",72
"2026-03-29",69
"2026-04-05",68
"2026-04-12",65
"2026-04-19",53
"2026-04-26",56
"2026-05-03",55
"2026-05-10",53
"2026-05-17",52
"2026-05-24",49
"2026-05-31",48
"2026-06-07",40
"2026-06-14",34
