"Time","Zalando"
"2021-06-01",7
"2021-07-01",4
"2021-08-01",0
"2021-09-01",1
"2021-10-01",6
"2021-11-01",11
"2021-12-01",3
"2022-01-01",6
"2022-02-01",3
"2022-03-01",8
"2022-04-01",10
"2022-05-01",9
"2022-06-01",4
"2022-07-01",1
"2022-08-01",2
"2022-09-01",16
"2022-10-01",40
"2022-11-01",16
"2022-12-01",6
"2023-01-01",4
"2023-02-01",3
"2023-03-01",2
"2023-04-01",0
"2023-05-01",1
"2023-06-01",0
"2023-07-01",0
"2023-08-01",0
"2023-09-01",0
"2023-10-01",0
"2023-11-01",0
"2023-12-01",0
"2024-01-01",0
"2024-02-01",0
"2024-03-01",0
"2024-04-01",0
"2024-05-01",0
"2024-06-01",3
"2024-07-01",1
"2024-08-01",0
"2024-09-01",0
"2024-10-01",0
"2024-11-01",0
"2024-12-01",1
"2025-01-01",1
"2025-02-01",23
"2025-03-01",1
"2025-04-01",54
"2025-05-01",70
"2025-06-01",90
"2025-07-01",66
"2025-08-01",89
"2025-09-01",82
"2025-10-01",100
"2025-11-01",58
"2025-12-01",3
"2026-01-01",14
"2026-02-01",64
"2026-03-01",17
"2026-04-01",16
"2026-05-01",34
"2026-06-01",1
